salario   genero     posicion experiencia
148	Masculino	7	16.7
165	Masculino	7	6.7	
145	Masculino	5	14.8	
139	Femenino	7	13.9		
142	Femenino	6	6.4		
144	Masculino	5	9.1		
128	Femenino	3	8.5		
143	Masculino	6	18.2		
157	Masculino	7	13		
150	Masculino	7	21.6		
115	Masculino	2	5.9		
133	Femenino	3	9.1		
128	Masculino	4	4.7		
154	Masculino	6	11.5		
121	Femenino	3	8.5		
150	Masculino	8	22.4		
133	Masculino	3	7		
149	Masculino	5	12.2		
145	Masculino	4	11.8		
145	Masculino	7	12		
149	Masculino	6	5.7		
151	Masculino	6	8		
148	Femenino	5	10		
142	Masculino	7	26.1		
127	Masculino	4	11.2		
146	Femenino	5	7.7		
134	Femenino	2	8.1		
139	Masculino	5	11.4		
145	Masculino	6	10.2		
110	Masculino	2	2.4		
125	Masculino	3	14.5		
148	Masculino	8	22.2		
135	Femenino	4	5.1		
159	Masculino	7	11.2		
153	Femenino	4	5.9		
131	Femenino	2	2.4		
142	Femenino	6	6.6		
132	Masculino	6	11		
153	Masculino	5	8.9		
160	Masculino	7	8.1		
148	Masculino	7	17		
155	Masculino	6	6.3		
164	Masculino	6	9.5		
140	Femenino	5	1.7		
134	Masculino	4	9.3		
132	Masculino	5	20.3		
151	Femenino	5	6.1		
124	Femenino	2	7.6		
164	Masculino	9	20		
139	Masculino	4	12.2		
158	Masculino	8	11.2		
137	Femenino	3	5.4		
143	Masculino	4	14.2		
142	Masculino	5	11.7		
129	Femenino	4	11		
142	Femenino	4	4.1		
140	Masculino	5	6		
137	Masculino	5	18.6		
145	Masculino	5	15.4		
133	Masculino	4	7.2		
146	Femenino	6	5.5		
130	Masculino	3	6.1		
162	Femenino	8	18.6		
142	Masculino	3	5		
137	Femenino	4	5.8		
129	Femenino	3	7.4		
132	Masculino	3	11.9		
123	Masculino	3	5.3		
138	Masculino	5	4.3		
143	Masculino	7	10.5		
153	Masculino	7	6.5		
153	Femenino	5	7.7		
164	Masculino	7	9.7		
147	Masculino	3	7.6		
135	Femenino	4	4.6		
153	Masculino	7	16.2		
134	Femenino	3	3.3		
166	Femenino	7	6.3		
128	Masculino	2	7.7		
147	Masculino	6	3.9		
138	Femenino	3	9.9		
152	Masculino	5	5.6		
135	Femenino	4	7.1		
143	Femenino	4	12.6		
136	Masculino	7	16		
153	Masculino	6	4.8		
149	Masculino	6	13.1		
139	Femenino	3	10.9		
146	Femenino	4	4.8		
133	Femenino	3	3.6		
141	Masculino	5	8.9		
159	Femenino	7	12.9		
151	Masculino	5	12.5		
162	Femenino	7	9.6		
137	Femenino	3	6.3		
155	Masculino	7	14.2		
135	Masculino	4	7		
145	Femenino	5	4.3		
127	Femenino	3	2.3		
139	Masculino	4	9.4		
120	Femenino	2	7.8		
150	Masculino	7	14.8		
131	Masculino	4	11.7		
164	Masculino	9	16.7		
149	Masculino	6	7.5		
145	Masculino	5	13.4		
132	Masculino	3	12		
119	Masculino	3	11.3		
138	Masculino	6	16.9		
126	Masculino	3	10.8		
147	Femenino	6	11		
137	Femenino	5	9.9		
137	Masculino	3	9.4		
138	Masculino	4	3.4		
124	Femenino	2	2.9		
153	Masculino	6	15.9		
163	Femenino	6	9.2		
128	Masculino	3	7.3		
144	Masculino	5	9.3		
134	Masculino	3	6.7		
142	Masculino	5	5.1		
133	Masculino	4	13.4		
146	Femenino	5	12.6		
162	Masculino	8	14		
171	Masculino	7	11		
135	Femenino	3	7.2		
133	Masculino	4	15.1		
154	Masculino	7	16.5		
149	Femenino	5	4.1		
153	Masculino	8	15.7		
125	Masculino	4	8.3		
157	Masculino	7	11		
120	Masculino	3	11		
145	Masculino	6	13.5		
141	Masculino	5	10.3		
150	Femenino	6	5.2		
144	Masculino	5	7.3		
138	Femenino	4	7.7		
122	Femenino	1	2.6		
155	Masculino	8	16.2		
128	Masculino	3	6.6		
145	Masculino	6	22.7		
138	Femenino	4	8.3		
126	Masculino	5	22.2		
146	Femenino	6	8.7		
144	Femenino	4	5.5		
150	Masculino	6	10.9		
170	Femenino	6	7.5		
118	Femenino	2	4.1		
162	Masculino	8	13	
164	Masculino	7	21.5		
138	Femenino	3	7.6		
139	Masculino	4	6.1		
152	Femenino	6	6.7		
140	Femenino	2	5.8		
159	Masculino	6	8.5		
120	Femenino	2	4.2		
137	Femenino	4	13.2		
156	Masculino	6	9.5		
146	Femenino	5	4.3		
131	Masculino	3	11.5		
148	Masculino	6	13.4		
172	Femenino	7	8.4		
165	Masculino	7	7.9		
133	Masculino	4	6.6		
152	Masculino	5	11.7		
150	Masculino	8	15.3		
150	Femenino	6	5.4		
118	Femenino	1	4.3		
138	Masculino	5	15.6		
129	Masculino	3	5.3		
147	Masculino	6	7.1		
165	Masculino	8	11.7		
141	Masculino	5	10.3		
149	Masculino	8	21.8		
148	Femenino	5	9.5		
150	Masculino	5	11.9		
152	Masculino	8	25.3		
129	Femenino	3	8.5		
152	Femenino	6	4.3		
141	Masculino	4	18.3		
149	Femenino	5	6.8		
124	Masculino	4	10.5		
112	Masculino	3	9.7		
154	Masculino	7	14.8		
132	Masculino	4	11.9		
148	Masculino	7	16.2		
139	Masculino	5	11.6		
151	Masculino	7	22.5		
139	Masculino	6	12.5		
163	Femenino	9	21.7		
162	Masculino	6	10.1		
155	Masculino	7	9		
157	Masculino	7	13		
131	Femenino	4	4.2		
143	Masculino	6	8.2		
150	Masculino	6	22		
151	Femenino	6	4.7		
140	Femenino	5	8		
158	Masculino	9	17.2		
145	Masculino	6	9		
119	Masculino	3	11.8		
146	Masculino	7	19.2		
143	Femenino	3	7.8		
151	Masculino	7	20.8		
132	Masculino	4	13.5		
129	Femenino	3	13.4		
129	Masculino	6	21.1		
165	Masculino	8	21.4		
120	Femenino	2	2.1		
133	Masculino	3	12		
147	Masculino	6	13.8		
164	Masculino	9	22		
127	Femenino	3	2.3		
132	Femenino	4	4.6		
146	Masculino	5	8.9		
147	Masculino	5	8.8		
156	Masculino	7	15.1		
132	Masculino	4	4.7		
161	Masculino	7	16.5		
